State,Head of state,Head of government
Afghanistan,Leader – Hibatullah Akhundzada,Acting Prime Minister – Hasan Akhund
Albania,President – Ilir Meta,Prime Minister – Edi Rama
Algeria,President – Abdelmadjid Tebboune,Prime Minister – Aymen Benabderrahmane
Andorra,Episcopal Co-Prince – Joan Enric Vives i SicíliaCo-Prince's Representative – Josep Maria MauriFrench Co-Prince – Emmanuel Macron[α]Co-Prince's Representative – Patrick Strzoda,Prime Minister – Xavier Espot Zamora
Angola,President – João Lourenço,President – João Lourenço
Antigua and Barbuda,Queen – Elizabeth II[β]Governor-General – Sir Rodney Williams,Prime Minister – Gaston Browne
Argentina,President – Alberto Fernández,President – Alberto Fernández
Armenia,Acting President – Alen Simonyan,Prime Minister – Nikol Pashinyan
Australia,Queen – Elizabeth II[β]Governor-General – David Hurley,Prime Minister – Scott Morrison
Austria,President – Alexander Van der Bellen,Chancellor – Karl Nehammer
Azerbaijan,President – Ilham Aliyev,Prime Minister – Ali Asadov
"Bahamas, The",Queen – Elizabeth II[β]Governor-General – Sir Cornelius A. Smith,Prime Minister – Philip Davis
Bahrain,King – Sheikh Hamad bin Isa Al Khalifa,Prime Minister – Prince Salman bin Hamad Al Khalifa
Bangladesh,President – Abdul Hamid,Prime Minister – Sheikh Hasina
Barbados,President – Dame Sandra Mason,Prime Minister – Mia Mottley
Belarus,President – Alexander Lukashenko,Prime Minister – Roman Golovchenko
Belgium,King – Philippe,Prime Minister – Alexander De Croo
Belize,Queen – Elizabeth II[β]Governor-General – Froyla Tzalam,Prime Minister – Juan Briceño
Benin,President – Patrice Talon,President – Patrice Talon
Bhutan,King – Jigme Khesar Namgyel Wangchuck,Prime Minister – Lotay Tshering
Bolivia,President – Luis Arce,President – Luis Arce
Bosnia and Herzegovina,High Representative – Christian Schmidt,High Representative – Christian Schmidt
Bosnia and Herzegovina,Presidency[γ],Prime Minister – Zoran Tegeltija
Bosnia and Herzegovina,Željko Komšić (as Chairman),Prime Minister – Zoran Tegeltija
Bosnia and Herzegovina,Milorad Dodik (as Member)Šefik Džaferović (as Member),Prime Minister – Zoran Tegeltija
Botswana,President – Mokgweetsi Masisi,President – Mokgweetsi Masisi
Brazil,President – Jair Bolsonaro,President – Jair Bolsonaro
Brunei,Sultan and Prime Minister – Hassanal Bolkiah,Sultan and Prime Minister – Hassanal Bolkiah
Bulgaria,President – Rumen Radev,Prime Minister – Kiril Petkov
Burkina Faso,President – Paul-Henri Sandaogo Damiba,President – Paul-Henri Sandaogo Damiba
Burkina Faso,President of the Patriotic Movement for Safeguard and Restoration – Paul-Henri Sandaogo Damiba,President of the Patriotic Movement for Safeguard and Restoration – Paul-Henri Sandaogo Damiba
Burundi,President – Évariste Ndayishimiye[δ],Prime Minister – Alain-Guillaume Bunyoni
Cambodia,King – Norodom Sihamoni,Prime Minister – Hun Sen
Cameroon,President – Paul Biya[δ],Prime Minister – Joseph Ngute
Canada,Queen – Elizabeth II[β]Governor General – Mary Simon,Prime Minister – Justin Trudeau
Cape Verde,President – José Maria Neves,Prime Minister – Ulisses Correia e Silva
Central African Republic,President – Faustin-Archange Touadéra[δ],Prime Minister – Félix Moloua
Chad,Interim President – Mahamat Déby[δ],Chairman of the Transitional Military Council – Mahamat Déby
Chad,Interim President – Mahamat Déby[δ],Acting Prime Minister – Albert Pahimi Padacké
Chile,President – Sebastián Piñera,President – Sebastián Piñera
Chile,President-elect – Gabriel Boric,President-elect – Gabriel Boric
China,General Secretary of the Communist Party – Xi Jinping,General Secretary of the Communist Party – Xi Jinping
China,President – Xi Jinping,Premier – Li Keqiang
Colombia,President – Iván Duque,President – Iván Duque
Comoros,President – Azali Assoumani,President – Azali Assoumani
"Congo, Democratic Republic of the",President – Félix Tshisekedi,Prime Minister – Jean-Michel Sama Lukonde
"Congo, Republic of the",President – Denis Sassou Nguesso,Prime Minister – Anatole Collinet Makosso
Costa Rica,President – Carlos Alvarado Quesada,President – Carlos Alvarado Quesada
Croatia,President – Zoran Milanović,Prime Minister – Andrej Plenković
Cuba,First Secretary of the Communist Party – Miguel Díaz-Canel,First Secretary of the Communist Party – Miguel Díaz-Canel
Cuba,President – Miguel Díaz-Canel,Prime Minister – Manuel Marrero Cruz
Cyprus,President – Nicos Anastasiades,President – Nicos Anastasiades
Czech Republic,President – Miloš Zeman,Prime Minister – Petr Fiala
Denmark,Queen – Margrethe II,Prime Minister – Mette Frederiksen
Djibouti,President – Ismaïl Omar Guelleh[δ],Prime Minister – Abdoulkader Kamil Mohamed
Dominica,President – Charles Savarin,Prime Minister – Roosevelt Skerrit
Dominican Republic,President – Luis Abinader,President – Luis Abinader
East Timor,President – Francisco Guterres,Prime Minister – Taur Matan Ruak
Ecuador,President – Guillermo Lasso,President – Guillermo Lasso
Egypt,President – Abdel Fattah el-Sisi,Prime Minister – Mostafa Madbouly
El Salvador,President – Nayib Bukele,President – Nayib Bukele
Equatorial Guinea,President – Teodoro Obiang Nguema Mbasogo[δ],Prime Minister – Francisco Pascual Obama Asue
Eritrea,Chairman of the People's Front for Democracy and Justice – Isaias Afwerki,Chairman of the People's Front for Democracy and Justice – Isaias Afwerki
Eritrea,President – Isaias Afwerki,President – Isaias Afwerki
Estonia,President – Alar Karis,Prime Minister – Kaja Kallas
Eswatini,King – Mswati III,Prime Minister – Cleopas Dlamini
Ethiopia,President – Sahle-Work Zewde,Prime Minister – Abiy Ahmed
Fiji,President – Ratu Wiliame Katonivere,Prime Minister – Frank Bainimarama
Finland,President – Sauli Niinistö,Prime Minister – Sanna Marin
France,President – Emmanuel Macron[α],Prime Minister – Jean Castex
Gabon,President – Ali Bongo Ondimba[δ],Prime Minister – Rose Christiane Raponda
"Gambia, The",President – Adama Barrow,President – Adama Barrow
Georgia,President – Salome Zourabichvili,Prime Minister – Irakli Garibashvili
Germany,President – Frank-Walter Steinmeier,Chancellor – Olaf Scholz
Ghana,President – Nana Akufo-Addo,President – Nana Akufo-Addo
Greece,President – Katerina Sakellaropoulou,Prime Minister – Kyriakos Mitsotakis
Grenada,Queen – Elizabeth II[β]Governor-General – Dame Cécile La Grenade,Prime Minister – Keith Mitchell
Guatemala,President – Alejandro Giammattei,President – Alejandro Giammattei
Guinea,Interim President – Mamady Doumbouya[δ],Chairman of the National Committee of Reconciliation and Development – Mamady Doumbouya
Guinea,Interim President – Mamady Doumbouya[δ],Acting Prime Minister – Mohamed Béavogui
Guinea-Bissau,President – Umaro Sissoco Embaló,Prime Minister – Nuno Gomes Nabiam
Guyana,President – Irfaan Ali[δ],Prime Minister – Mark Phillips
Haiti,Interim President – Ariel Henry,Prime Minister – Ariel Henry
Honduras,President – Xiomara Castro,President – Xiomara Castro
Hungary,President – János Áder,Prime Minister – Viktor Orbán
Iceland,President – Guðni Th. Jóhannesson,Prime Minister – Katrín Jakobsdóttir
India,President – Ram Nath Kovind,Prime Minister – Narendra Modi
Indonesia,President – Joko Widodo,President – Joko Widodo
Iran,Supreme Leader – Ali Khamenei[ε],President – Ebrahim Raisi
Iraq,President – Barham Salih,Prime Minister – Mustafa Al-Kadhimi
Ireland,President – Michael D. Higgins,Taoiseach – Micheál Martin
Israel,President – Isaac Herzog,Prime Minister – Naftali Bennett
Italy,President – Sergio Mattarella,Prime Minister – Mario Draghi
Ivory Coast,President – Alassane Ouattara[δ],Prime Minister – Patrick Achi
Jamaica,Queen – Elizabeth II[β]Governor-General – Sir Patrick Allen,Prime Minister – Andrew Holness
Japan,Emperor – Naruhito[ζ],Prime Minister – Fumio Kishida
Jordan,King – Abdullah II,Prime Minister – Bisher Al-Khasawneh
Kazakhstan,President – Qasym-Zhomart Toqaev[δ],Prime Minister – Alihan Smaiylov
Kenya,President – Uhuru Kenyatta,President – Uhuru Kenyatta
Kiribati,President – Taneti Maamau,President – Taneti Maamau
Kuwait,Emir – Sheikh Nawaf Al-Ahmad Al-Jaber Al-Sabah,Prime Minister – Sheikh Sabah Al-Khalid Al-Sabah
Kyrgyzstan,President – Sadyr Dzaparov[δ],Chairman of the Cabinet of Ministers – Akylbek Dzaparov
Laos,General Secretary of the People's Revolutionary Party – Thongloun Sisoulith,General Secretary of the People's Revolutionary Party – Thongloun Sisoulith
Laos,President – Thongloun Sisoulith,Prime Minister – Phankham Viphavanh
Latvia,President – Egils Levits,Prime Minister – Krišjānis Kariņš
Lebanon,President – Michel Aoun,Prime Minister – Najib Mikati
Lesotho,King – Letsie III,Prime Minister – Moeketsi Majoro
Liberia,President – George Weah,President – George Weah
Libya
Libya,Presidential Council[η],Prime Minister – Abdul Hamid Dbeibeh
Libya,Mohamed al-Menfi (as Chairman),Prime Minister – Abdul Hamid Dbeibeh
Libya,Abdullah al-Lafi (as Member)Musa al-Koni (as Member),Prime Minister – Abdul Hamid Dbeibeh
Liechtenstein,Prince Regnant – Hans-Adam II,Prime Minister – Daniel Risch
Liechtenstein,Regent – Hereditary Prince Alois,Prime Minister – Daniel Risch
Lithuania,President – Gitanas Nausėda,Prime Minister – Ingrida Šimonytė
Luxembourg,Grand Duke – Henri,Prime Minister – Xavier Bettel
Madagascar,President – Andry Rajoelina,Prime Minister – Christian Ntsay
Malawi,President – Lazarus Chakwera,President – Lazarus Chakwera
Malaysia,Yang di-Pertuan Agong – Abdullah Sultan Ahmad Shah,Prime Minister – Ismail Sabri Yaakob
Maldives,President – Ibrahim Mohamed Solih,President – Ibrahim Mohamed Solih
Mali,Interim President – Assimi Goïta,Acting Prime Minister – Choguel Kokalla Maïga
Malta,President – George Vella,Prime Minister – Robert Abela
Marshall Islands,President – David Kabua,President – David Kabua
Mauritania,President – Mohamed Ould Ghazouani,Prime Minister – Mohamed Ould Bilal
Mauritius,President – Prithvirajsing Roopun,Prime Minister – Pravind Jugnauth
Mexico,President – Andrés Manuel López Obrador,President – Andrés Manuel López Obrador
Federated States of Micronesia,President – David W. Panuelo,President – David W. Panuelo
Moldova,President – Maia Sandu,Prime Minister – Natalia Gavrilița
Monaco,Sovereign Prince – Albert II,Minister of State – Pierre Dartout
Mongolia,President – Ukhnaagiin Khürelsükh,Prime Minister – Luvsannamsrain Oyun-Erdene
Montenegro,President – Milo Đukanović,Prime Minister – Zdravko Krivokapić
Morocco,King – Mohammed VI,Prime Minister – Aziz Akhannouch
Mozambique,President – Filipe Nyusi[δ],Prime Minister – Carlos Agostinho do Rosário
Myanmar,Acting President – Myint Swe[δ],Chairman of the State Administration Council – Min Aung Hlaing[1]
Myanmar,Acting President – Myint Swe[δ],Prime Minister – Min Aung Hlaing
Namibia,President – Hage Geingob[δ],Prime Minister – Saara Kuugongelwa
Nauru,President – Lionel Aingimea,President – Lionel Aingimea
Nepal,President – Bidhya Devi Bhandari,Prime Minister – Sher Bahadur Deuba
Netherlands,King – Willem-Alexander,Prime Minister – Mark Rutte
New Zealand,Queen – Elizabeth II[β]Governor-General – Dame Cindy Kiro[θ],Prime Minister – Jacinda Ardern
Nicaragua,President – Daniel Ortega,President – Daniel Ortega
Niger,President – Mohamed Bazoum,Prime Minister – Ouhoumoudou Mahamadou
Nigeria,President – Muhammadu Buhari,President – Muhammadu Buhari
North Korea,General Secretary of the Workers' Party of Korea – Kim Jong-un,General Secretary of the Workers' Party of Korea – Kim Jong-un
North Korea,Supreme Leader – Kim Jong-un[ι]Chairman of the Standing Committee of the Supreme People's Assembly – Choe Ryong-hae[κ],Premier – Kim Tok-hun
North Macedonia,President – Stevo Pendarovski,Prime Minister – Dimitar Kovačevski
Norway,King – Harald V,Prime Minister – Jonas Gahr Støre
Oman,Sultan and Prime Minister – Haitham bin Tarik,Sultan and Prime Minister – Haitham bin Tarik
Pakistan,President – Arif Alvi,Prime Minister – Imran Khan
Palau,President – Surangel Whipps Jr.,President – Surangel Whipps Jr.
Palestine,President – Mahmoud Abbas,Prime Minister – Mohammad Shtayyeh
Panama,President – Laurentino Cortizo,President – Laurentino Cortizo
Papua New Guinea,Queen – Elizabeth II[β]Governor-General – Sir Bob Dadae,Prime Minister – James Marape
Paraguay,President – Mario Abdo Benítez,President – Mario Abdo Benítez
Peru,President – Pedro Castillo[δ],Prime Minister – Aníbal Torres
Philippines,President – Rodrigo Duterte,President – Rodrigo Duterte
Poland,President – Andrzej Duda,Prime Minister – Mateusz Morawiecki
Portugal,President – Marcelo Rebelo de Sousa,Prime Minister – António Costa
Qatar,Emir – Sheikh Tamim bin Hamad Al Thani,Prime Minister – Sheikh Khalid bin Khalifa bin Abdul Aziz Al Thani
Romania,President – Klaus Iohannis,Prime Minister – Nicolae Ciucă
Russia,President – Vladimir Putin,Prime Minister – Mikhail Mishustin
Rwanda,President – Paul Kagame[δ],Prime Minister – Édouard Ngirente
Saint Kitts and Nevis,Queen – Elizabeth II[β]Governor-General – Sir Tapley Seaton,Prime Minister – Timothy Harris
Saint Lucia,Queen – Elizabeth II[β]Acting Governor-General – Errol Charles,Prime Minister – Philip J. Pierre
Saint Vincent and the Grenadines,Queen – Elizabeth II[β]Governor-General – Dame Susan Dougan,Prime Minister – Ralph Gonsalves
Samoa,O le Ao o le Malo – Afioga Tuimalealiʻifano Vaʻaletoʻa Sualauvi II,Prime Minister – Fiamē Naomi Mataʻafa
San Marino,Captain Regent[λ] – Francesco Mussoni,Secretary for Foreign and Political Affairs[2] – Luca Beccari
San Marino,Captain Regent[λ] – Giacomo Simoncini,Secretary for Foreign and Political Affairs[2] – Luca Beccari
São Tomé and Príncipe,President – Carlos Vila Nova,Prime Minister – Jorge Bom Jesus
Saudi Arabia,King and Prime Minister  – Salman,King and Prime Minister  – Salman
Senegal,President – Macky Sall,President – Macky Sall
Serbia,President – Aleksandar Vučić,Prime Minister – Ana Brnabić
Seychelles,President – Wavel Ramkalawan,President – Wavel Ramkalawan
Sierra Leone,President – Julius Maada Bio[δ],Chief Minister – Jacob Jusu Saffa
Singapore,President – Halimah Yacob,Prime Minister – Lee Hsien Loong
Slovakia,President – Zuzana Čaputová,Prime Minister – Eduard Heger
Slovenia,President – Borut Pahor,Prime Minister – Janez Janša
Solomon Islands,Queen – Elizabeth II[β]Governor-General – Sir David Vunagi,Prime Minister – Manasseh Sogavare
Somalia,President – Mohamed Abdullahi Mohamed,Prime Minister – Mohamed Hussein Roble
South Africa,President – Cyril Ramaphosa,President – Cyril Ramaphosa
South Korea,President – Moon Jae-in [δ],Prime Minister – Kim Boo-kyum
South Sudan,President – Salva Kiir Mayardit,President – Salva Kiir Mayardit
Spain,King – Felipe VI,Prime Minister – Pedro Sánchez
Sri Lanka,President – Gotabaya Rajapaksa,Prime Minister – Mahinda Rajapaksa
Sudan,Chairman of the Transitional Sovereignty Council – Abdel Fattah al-Burhan,Acting Prime Minister – Osman Hussein
Suriname,President – Chan Santokhi,President – Chan Santokhi
Sweden,King – Carl XVI Gustaf,Prime Minister – Magdalena Andersson
Switzerland
Switzerland,Federal Council[μ],Federal Council[μ]
Switzerland,Members: Ignazio Cassis (President) Alain Berset (Vice President) Ueli Maurer Simonetta Sommaruga Guy Parmelin Karin Keller-Sutter Viola Amherd,Members: Ignazio Cassis (President) Alain Berset (Vice President) Ueli Maurer Simonetta Sommaruga Guy Parmelin Karin Keller-Sutter Viola Amherd
Syria,President – Bashar al-Assad,Prime Minister – Hussein Arnous
Tajikistan,President – Emomali Rahmon[δ],Prime Minister – Kokhir Rasulzoda
Tanzania,President – Samia Suluhu Hassan[δ],Prime Minister – Kassim Majaliwa
Thailand,King – Maha Vajiralongkorn,Prime Minister – Prayut Chan-o-cha
Togo,President – Faure Gnassingbé[δ],Prime Minister – Victoire Tomegah Dogbé
Tonga,King – Tupou VI,Prime Minister – Siaosi Sovaleni
Trinidad and Tobago,President – Paula-Mae Weekes,Prime Minister – Keith Rowley
Tunisia,President – Kaïs Saïed,Prime Minister – Najla Bouden
Turkey,President – Recep Tayyip Erdoğan,President – Recep Tayyip Erdoğan
Turkmenistan,President – Gurbanguly Berdimuhamedow,President – Gurbanguly Berdimuhamedow
Tuvalu,Queen – Elizabeth II[β]Governor-General – Tofiga Vaevalu Falani,Prime Minister – Kausea Natano
Uganda,President – Yoweri Museveni[δ],Prime Minister – Robinah Nabbanja
Ukraine,President – Volodymyr Zelensky,Prime Minister – Denys Shmyhal
United Arab Emirates,President – Sheikh Khalifa bin Zayed Al Nahyan,Prime Minister – Sheikh Mohammed bin Rashid Al Maktoum
United Kingdom,Queen – Elizabeth II[β],Prime Minister – Boris Johnson
United States,President – Joe Biden,President – Joe Biden
Uruguay,President – Luis Lacalle Pou,President – Luis Lacalle Pou
Uzbekistan,President – Shavkat Mirziyoyev[δ],Prime Minister – Abdulla Aripov
Vanuatu,President – Tallis Obed Moses,Prime Minister – Bob Loughman
Vatican City,Sovereign – Pope Francis,President of the Governorate – Archbishop Fernando Vérgez Alzaga
Venezuela,President – Nicolás Maduro[ν],President – Nicolás Maduro[ν]
Vietnam,General Secretary of the Communist Party – Nguyễn Phú Trọng,General Secretary of the Communist Party – Nguyễn Phú Trọng
Vietnam,President – Nguyễn Xuân Phúc,Prime Minister – Phạm Minh Chính
Yemen,President – Abdrabbuh Mansur Hadi,Prime Minister – Maeen Abdulmalik Saeed
Zambia,President – Hakainde Hichilema,President – Hakainde Hichilema
Zimbabwe,President – Emmerson Mnangagwa,President – Emmerson Mnangagwa
